Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
FIN	IBS	EAS001	12880A	0	199	50651	6.31088730725951e-05	0.000259762627153389	0.242948239953431
FIN	IBS	EAS001	12880A	1	198	50423	6.33942353687799e-05	0.000260997525568503	0.242892093443013
FIN	IBS	EAS001	12880A	2	197	50006	6.39111060672718e-05	0.000263299935301697	0.242731187890496
FIN	IBS	EAS001	12880A	3	196	49522	6.45416727918906e-05	0.000265700692980618	0.242911194802938
FIN	IBS	EAS001	12880A	4	195	48968	6.75800914883185e-05	0.000268215278708121	0.251962124655326
FIN	IBS	EAS001	12880A	5	194	48419	7.06888690390129e-05	0.000270988841873157	0.260855275628288
FIN	IBS	EAS001	12880A	6	193	47835	6.54169150203822e-05	0.000273632044960284	0.239068911062215
FIN	IBS	EAS001	12880A	7	192	47259	6.53173541547636e-05	0.000276608865618892	0.236136155681854
FIN	IBS	EAS001	12880A	8	191	46695	5.24042758325304e-05	0.000278436608910599	0.188209000380968
FIN	IBS	EAS001	12880A	9	190	46112	5.43286181471205e-05	0.000278819115771374	0.194852558788218
FIN	IBS	EAS001	12880A	10	189	45532	5.76927479574809e-05	0.000282218495465095	0.204425822136156
FIN	IBS	EAS001	12880A	11	188	44937	5.09893117030513e-05	0.000284345754895528	0.179321515532333
FIN	IBS	EAS001	12880A	12	187	44324	5.23497540835666e-05	0.000288405929325715	0.181514139483744
FIN	IBS	EAS001	12880A	13	186	43700	7.29674256292907e-05	0.000295026974373687	0.247324590519879
FIN	IBS	EAS001	12880A	14	185	43043	8.72634992914059e-05	0.000296089874358278	0.29471963362656
FIN	IBS	EAS001	12880A	15	184	42399	0.000102948015283379	0.00030130472756988	0.341674078975423
FIN	IBS	EAS001	12880A	16	183	41769	8.59834997246762e-05	0.000305117047183014	0.281804968022983
FIN	IBS	EAS001	12880A	17	182	41151	6.37661126096577e-05	0.000307859650804632	0.207127216713839
FIN	IBS	EAS001	12880A	18	181	40490	5.00215633489752e-05	0.000313158580907488	0.15973237330435
FIN	IBS	EAS001	12880A	19	180	39903	8.14054206450639e-05	0.000319020062009988	0.255173358478362
FIN	IBS	EAS001	12884A	0	199	250740	-0.00012232732547659	0.000192377825472261	-0.635870195415158
FIN	IBS	EAS001	12884A	1	198	249758	-0.000122664904147214	0.000193186486272821	-0.634955925302068
FIN	IBS	EAS001	12884A	2	197	247736	-0.00012333959303452	0.00019465425770965	-0.633634190619639
FIN	IBS	EAS001	12884A	3	196	245497	-0.000123167974883604	0.000196464619813523	-0.626921910929868
FIN	IBS	EAS001	12884A	4	195	242925	-0.000125794176515386	0.000198658026487925	-0.633219702920144
FIN	IBS	EAS001	12884A	5	194	240372	-0.000128028401228097	0.000200827946817626	-0.637502913597779
FIN	IBS	EAS001	12884A	6	193	237693	-0.000132242066825695	0.000202998557959789	-0.651443380459334
FIN	IBS	EAS001	12884A	7	192	234913	-0.00013400333225492	0.000205583888749159	-0.651818258085502
FIN	IBS	EAS001	12884A	8	191	232086	-0.000137329640391924	0.000208393441580357	-0.658992141741512
FIN	IBS	EAS001	12884A	9	190	229232	-0.000139553581175403	0.000210959087775248	-0.661519646520659
FIN	IBS	EAS001	12884A	10	189	226284	-0.000139678452740804	0.000213450731871934	-0.65438263676045
FIN	IBS	EAS001	12884A	11	188	223201	-0.000146226953015443	0.000215731748102842	-0.67781842172685
FIN	IBS	EAS001	12884A	12	187	220191	-0.000148040666421425	0.000218296591325777	-0.678162977819911
FIN	IBS	EAS001	12884A	13	186	217179	-0.000148089650564741	0.00022069309606568	-0.671020766869247
FIN	IBS	EAS001	12884A	14	185	213979	-0.000158766041901308	0.000223915526087755	-0.709044364521133
FIN	IBS	EAS001	12884A	15	184	210844	-0.000161434764375557	0.000227347030041416	-0.71008081498205
FIN	IBS	EAS001	12884A	16	183	207774	-0.000163074953362789	0.000229474382475046	-0.710645570123813
FIN	IBS	EAS001	12884A	17	182	204629	-0.000168666352569773	0.00023247193077918	-0.725534269898525
FIN	IBS	EAS001	12884A	18	181	201523	-0.000180559263508384	0.00023388858342331	-0.771988358155956
