Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	IBS	EAS001	12880A	0	199	51831	0.00011191244236075	0.000186442607700366	0.600251432551328
NL	IBS	EAS001	12880A	1	198	50785	0.000114209494732696	0.000190357537480636	0.599973587829766
NL	IBS	EAS001	12880A	2	197	50124	0.000115179900247387	0.000192900164106564	0.597095916329845
NL	IBS	EAS001	12880A	3	196	49533	0.000117686593382189	0.000195152547292776	0.6030492300243
NL	IBS	EAS001	12880A	4	195	48923	0.000117868379494308	0.000197651585011217	0.596344215947566
NL	IBS	EAS001	12880A	5	194	48346	0.000121706401356886	0.000200015726913114	0.608484158896939
NL	IBS	EAS001	12880A	6	193	47753	0.000121217696898624	0.000202349614154291	0.599050793376833
NL	IBS	EAS001	12880A	7	192	47168	0.00012276299376696	0.00020429241608999	0.600918017988901
NL	IBS	EAS001	12880A	8	191	46604	0.00012444403849455	0.000207370407280535	0.600105097571609
NL	IBS	EAS001	12880A	9	190	46020	0.000125223321382008	0.000209181478272305	0.598634842894631
NL	IBS	EAS001	12880A	10	189	45440	0.000133381075044014	0.000213385653085317	0.625070491457478
NL	IBS	EAS001	12880A	11	188	44845	0.000134811279964321	0.00021688194119083	0.621588313089208
NL	IBS	EAS001	12880A	12	187	44233	0.000140971190061719	0.000220222655142196	0.640130280741075
NL	IBS	EAS001	12880A	13	186	43608	0.000151726592597689	0.000223390617003279	0.679198592282244
NL	IBS	EAS001	12880A	14	185	42952	0.000156417348435463	0.000224508095231511	0.696711395970673
NL	IBS	EAS001	12880A	15	184	42309	0.000166944977427971	0.000226968627345985	0.735542085177633
NL	IBS	EAS001	12880A	16	183	41682	0.000165824517777458	0.000229913656424604	0.721246925285785
NL	IBS	EAS001	12880A	17	182	41064	0.000158381106321839	0.000232882869866334	0.680089121251142
NL	IBS	EAS001	12880A	18	181	40404	0.000159494147856647	0.000236174735557674	0.675322648208064
NL	IBS	EAS001	12880A	19	180	39819	0.000176502279062759	0.000238557518694124	0.739873050444777
NL	IBS	EAS001	12884A	0	199	256194	-1.21417251379812e-05	0.000136760443131116	-0.0887809724800367
NL	IBS	EAS001	12884A	1	198	251489	-1.18034193940887e-05	0.000139518564988881	-0.0846010664962717
NL	IBS	EAS001	12884A	2	197	248324	-1.19306049757574e-05	0.000141240647981485	-0.084470052681445
NL	IBS	EAS001	12884A	3	196	245608	-1.17605385818051e-05	0.000142955320573052	-0.0822672324098309
