Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
SE	IBS	EAS001	12880A	0	199	52056	-6.12472988704465e-05	0.000204311839724459	-0.299773615435338
SE	IBS	EAS001	12880A	1	198	50955	-6.20891160828185e-05	0.000208901758902264	-0.297216818130608
SE	IBS	EAS001	12880A	2	197	50258	-6.37323146563727e-05	0.000211686540543345	-0.301069281461109
SE	IBS	EAS001	12880A	3	196	49656	-6.38992721926856e-05	0.000214257479629099	-0.298235899644211
SE	IBS	EAS001	12880A	4	195	49038	-6.51009845425996e-05	0.000217141475439988	-0.299809073373418
SE	IBS	EAS001	12880A	5	194	48457	-6.36472082464862e-05	0.0002198369647728	-0.28952004642288
SE	IBS	EAS001	12880A	6	193	47860	-6.68801519013798e-05	0.000222426680422431	-0.300684035630805
SE	IBS	EAS001	12880A	7	192	47274	-6.84894013622709e-05	0.00022457766763211	-0.304969777647109
SE	IBS	EAS001	12880A	8	191	46704	-6.85939979445008e-05	0.000228213712600602	-0.300569133917678
SE	IBS	EAS001	12880A	9	190	46118	-6.83199878572356e-05	0.000230215411028979	-0.296765483908615
SE	IBS	EAS001	12880A	10	189	45537	-6.40395304916883e-05	0.00023392217265109	-0.273764259992607
SE	IBS	EAS001	12880A	11	188	44940	-6.63502603471286e-05	0.00023763079772154	-0.279215745531768
SE	IBS	EAS001	12880A	12	187	44325	-6.58326790750137e-05	0.000241265396609787	-0.272864157065544
SE	IBS	EAS001	12880A	13	186	43700	-5.65842608695649e-05	0.000245520948593053	-0.230466121908613
SE	IBS	EAS001	12880A	14	185	43043	-5.68064702739118e-05	0.00024667039665475	-0.230293018717688
SE	IBS	EAS001	12880A	15	184	42399	-4.46369253991847e-05	0.000249689787317247	-0.178769527896111
SE	IBS	EAS001	12880A	16	183	41769	-5.99993847111494e-05	0.000253536348485592	-0.23665003093061
SE	IBS	EAS001	12880A	17	182	41151	-7.22384097591793e-05	0.000257272831350979	-0.28078522469646
SE	IBS	EAS001	12880A	18	181	40490	-7.46582094344279e-05	0.000262450644573015	-0.284465711851805
SE	IBS	EAS001	12880A	19	180	39903	-5.39014635491072e-05	0.00026727630273236	-0.201669444683549
SE	IBS	EAS001	12884A	0	199	257150	-5.84423000583316e-05	0.000143483075644101	-0.407311453256644
SE	IBS	EAS001	12884A	1	198	252269	-5.89915755007552e-05	0.000146363658761683	-0.403047969693135
SE	IBS	EAS001	12884A	2	197	248923	-5.95982168381389e-05	0.000148223055952455	-0.402084658524758
SE	IBS	EAS001	12884A	3	196	246157	-5.97436410095999e-05	0.000150023621401145	-0.398228228672421
SE	IBS	EAS001	12884A	4	195	243278	-6.1425835833902e-05	0.000151759662330682	-0.404757330706601
SE	IBS	EAS001	12884A	5	194	240543	-6.3468183983737e-05	0.000153504742267576	-0.413460737734766
SE	IBS	EAS001	12884A	6	193	237791	-6.53685660517011e-05	0.000154581870322044	-0.422873432152924
SE	IBS	EAS001	12884A	7	192	234964	-6.78904973953461e-05	0.000156006685366445	-0.435176846658064
SE	IBS	EAS001	12884A	8	191	232122	-6.78617363283098e-05	0.000157795332996919	-0.430061745423326
SE	IBS	EAS001	12884A	9	190	229255	-6.89242229831411e-05	0.000159787222358219	-0.431350028906714
SE	IBS	EAS001	12884A	10	189	226299	-6.90998450722276e-05	0.00016078888318364	-0.429755115553028
SE	IBS	EAS001	12884A	11	188	223207	-7.03887303713597e-05	0.000162455720690864	-0.433279481153527
SE	IBS	EAS001	12884A	12	187	220195	-7.08700276573039e-05	0.000165030403449405	-0.429436189792939
SE	IBS	EAS001	12884A	13	186	217180	-7.14329073579516e-05	0.000166914910355073	-0.427960013913644
SE	IBS	EAS001	12884A	14	185	213979	-7.92597634347297e-05	0.000169105909926879	-0.468698955991554
SE	IBS	EAS001	12884A	15	184	210844	-8.00272798846535e-05	0.000172298237662368	-0.464469520817
SE	IBS	EAS001	12884A	16	183	207774	-8.30049654913508e-05	0.000175449047664002	-0.473100119929471
SE	IBS	EAS001	12884A	17	182	204629	-8.53526108225132e-05	0.000177020512658665	-0.482162262105137
SE	IBS	EAS001	12884A	18	181	201523	-9.16072577323675e-05	0.000178700337670547	-0.512630579922324
SE	IBS	EAS001	12884A	19	180	198537	-9.16507950659069e-05	0.000180303239082038	-0.508314745384057
SE	IBS	EAS001	15579A	0	199	45274	2.61426162919118e-05	0.000165926888686253	0.157555032212676
SE	IBS	EAS001	15579A	1	198	44328	2.68454223064426e-05	0.000169563487737641	0.158320772146298
SE	IBS	EAS001	15579A	2	197	43694	2.58916915365955e-05	0.00017149503832826	0.150976330213333
SE	IBS	EAS001	15579A	3	196	43184	2.70605034271953e-05	0.000173509630749716	0.155959662355743
SE	IBS	EAS001	15579A	4	195	42619	2.49736138811325e-05	0.000175521370283201	0.142282468743481
SE	IBS	EAS001	15579A	5	194	42099	2.70937437943893e-05	0.000178269317470616	0.151982091920305
SE	IBS	EAS001	15579A	6	193	41577	2.61092077350459e-05	0.00018052101318811	0.144632512713847
SE	IBS	EAS001	15579A	7	192	41092	2.86350172783021e-05	0.000182319295959868	0.157059718377836
SE	IBS	EAS001	15579A	8	191	40551	2.80353904959187e-05	0.000184725772033231	0.151767618493836
SE	IBS	EAS001	15579A	9	190	40016	3.1129073370652e-05	0.00018531284636609	0.167981194941854
SE	IBS	EAS001	15579A	10	189	39506	3.95138713106868e-05	0.000188594966162122	0.209517104908937
SE	IBS	EAS001	15579A	11	188	38951	4.6702572462838e-05	0.000192827584754983	0.242198607228217
SE	IBS	EAS001	15579A	12	187	38398	4.73853143392883e-05	0.00019618840649325	0.241529635651119
SE	IBS	EAS001	15579A	13	186	37819	4.64310425976359e-05	0.000199604293391164	0.23261545034327
SE	IBS	EAS001	15579A	14	185	37274	4.02191769061543e-05	0.000201731657263932	0.199369684717031
SE	IBS	EAS001	15579A	15	184	36717	4.71246534302912e-05	0.00020434751421336	0.230610358103442
SE	IBS	EAS001	15579A	16	183	36143	6.47728080126165e-05	0.000208484334262437	0.310684293099363
SE	IBS	EAS001	15579A	17	182	35606	7.0851145874291e-05	0.000209565221680991	0.3380863738075
SE	IBS	EAS001	15579A	18	181	35067	5.10523055864486e-05	0.000213196463270078	0.239461315649385
SE	IBS	EAS001	15579A	19	180	34521	4.38818661104834e-05	0.000213568283245462	0.205469957634338
