Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
FIN	IBS	EAS001	12880A	0	199	322552	-0.000105912801501773	0.000110588463815636	-0.957720162189269
FIN	IBS	EAS001	12880A	1	198	310857	-0.000109611872340015	0.000114833136191701	-0.954531731651306
FIN	IBS	EAS001	12880A	2	197	292705	-0.000116899936283972	0.00012212351442497	-0.957227089593728
FIN	IBS	EAS001	12880A	3	196	276677	-0.000123278535729388	0.000129139973436599	-0.954611747615943
FIN	IBS	EAS001	12880A	4	195	262756	-0.000131883868912604	0.000135912466119193	-0.970358883760847
FIN	IBS	EAS001	12880A	5	194	250941	-0.00013975938806333	0.000141940910974287	-0.984630767155272
FIN	IBS	EAS001	12880A	6	193	241032	-0.000150771997950479	0.000147361999052507	-1.02314028664037
FIN	IBS	EAS001	12880A	7	192	232484	-0.000157234616532751	0.000152203965270401	-1.03305203812143
FIN	IBS	EAS001	12880A	8	191	224906	-0.000166886043280304	0.000155514543435047	-1.07312177751405
FIN	IBS	EAS001	12880A	9	190	218137	-0.000173389336884618	0.000159557288114389	-1.08669017212371
FIN	IBS	EAS001	12880A	10	189	211962	-0.000177954345024108	0.000164678260162758	-1.08061832113255
FIN	IBS	EAS001	12880A	11	188	206317	-0.000187203597764605	0.000169162595378954	-1.10664888621055
FIN	IBS	EAS001	12880A	12	187	201175	-0.000188621926829874	0.000172799856132817	-1.0915629853586
FIN	IBS	EAS001	12880A	13	186	196387	-0.00018858549522117	0.000177425944968447	-1.0628969469753
FIN	IBS	EAS001	12880A	14	185	191432	-0.000190538104235446	0.00018068377501809	-1.05453909304457
FIN	IBS	EAS001	12880A	15	184	187090	-0.000180181990325512	0.000185838711357593	-0.969561126469522
FIN	IBS	EAS001	12880A	16	183	182894	-0.000202389235896202	0.000188220721453464	-1.07527606064479
FIN	IBS	EAS001	12880A	17	182	178984	-0.00021516777147678	0.000191694144059811	-1.12245354458843
FIN	IBS	EAS001	12880A	18	181	175159	-0.000224898486575055	0.000196153627886127	-1.14654257990892
FIN	IBS	EAS001	12880A	19	180	171507	-0.000224922206965313	0.0002011176527691	-1.11836133660302
FIN	IBS	EAS001	12884A	0	199	1832541	-9.39375584557178e-05	0.000112157858826333	-0.837547715681451
FIN	IBS	EAS001	12884A	1	198	1765986	-9.72931831849176e-05	0.000116493198802064	-0.835183377101959
FIN	IBS	EAS001	12884A	2	197	1661538	-0.000103154346707689	0.000123674727828934	-0.834077814590958
FIN	IBS	EAS001	12884A	3	196	1570625	-0.000107761592767211	0.000130981328621871	-0.822724841021476
FIN	IBS	EAS001	12884A	4	195	1490831	-0.000115426991409489	0.000137891398636785	-0.837086232720948
FIN	IBS	EAS001	12884A	5	194	1424122	-0.000122619929072088	0.00014408142504961	-0.851046059753142
FIN	IBS	EAS001	12884A	6	193	1368558	-0.000131106345394203	0.000150027956434522	-0.873879432273833
FIN	IBS	EAS001	12884A	7	192	1320320	-0.000135141250227218	0.00015509595074494	-0.871339642190024
FIN	IBS	EAS001	12884A	8	191	1276905	-0.000141183100677028	0.000160118733806524	-0.881740052026789
FIN	IBS	EAS001	12884A	9	190	1239072	-0.000147208500861935	0.000164212880338786	-0.896449173525432
FIN	IBS	EAS001	12884A	10	189	1204133	-0.000149202803892926	0.000168703839655299	-0.884406686876728
FIN	IBS	EAS001	12884A	11	188	1171451	-0.000160482721411309	0.000173394921885658	-0.92553299523464
FIN	IBS	EAS001	12884A	12	187	1142338	-0.000166769011719824	0.000175923569637141	-0.947962868555935
FIN	IBS	EAS001	12884A	13	186	1115093	-0.000170207831696549	0.000179587493901198	-0.947771072467835
FIN	IBS	EAS001	12884A	14	185	1087644	-0.000178855082664916	0.000183488728264506	-0.974746974141591
FIN	IBS	EAS001	12884A	15	184	1062642	-0.000182633029279851	0.000187083762606168	-0.976209943266505
FIN	IBS	EAS001	12884A	16	183	1039115	-0.000192353772777796	0.000190082581876269	-1.01194844303517
FIN	IBS	EAS001	12884A	17	182	1016581	-0.000197724462153041	0.000193542104823209	-1.02160954761576
FIN	IBS	EAS001	12884A	18	181	995173	-0.000207029677794715	0.000196749823479696	-1.05224835343286
FIN	IBS	EAS001	12884A	19	180	974840	-0.000218443632144762	0.000199991667513617	-1.09226366708447
FIN	IBS	EAS001	15579A	0	199	282553	3.00668079970845e-06	0.00013238214997523	0.022712131509203
FIN	IBS	EAS001	15579A	1	198	272192	3.35168528097842e-06	0.000137507177022306	0.0243746206820516
FIN	IBS	EAS001	15579A	2	197	255857	4.26873437115255e-06	0.000146564521465877	0.0291252912264063
FIN	IBS	EAS001	15579A	3	196	241369	5.15575931457666e-06	0.000155085167964188	0.0332446963320646
FIN	IBS	EAS001	15579A	4	195	228839	2.31530713733257e-06	0.00016317829639359	0.0141888179280165
FIN	IBS	EAS001	15579A	5	194	218295	2.86591419867623e-06	0.000171385078030241	0.0167220754082834
FIN	IBS	EAS001	15579A	6	193	209477	-6.58743489738288e-07	0.000177972343833831	-0.0037013812120907
FIN	IBS	EAS001	15579A	7	192	201851	1.63773748953407e-06	0.000184390367537891	0.00888190371005971
FIN	IBS	EAS001	15579A	8	191	195060	-4.74337716600045e-06	0.000190340063175836	-0.0249205400421587
FIN	IBS	EAS001	15579A	9	190	189098	4.72001411966283e-06	0.000194293233599447	0.0242932501159231
FIN	IBS	EAS001	15579A	10	189	183661	1.24192395772648e-05	0.000198982914350094	0.0624135977595253
FIN	IBS	EAS001	15579A	11	188	178455	1.62078985738702e-05	0.00020532182278785	0.0789389961271535
FIN	IBS	EAS001	15579A	12	187	173913	1.9006340871585e-05	0.000212814185975079	0.0893095579343132
FIN	IBS	EAS001	15579A	13	186	169610	1.86672735687755e-05	0.000217088704139622	0.0859891519586827
FIN	IBS	EAS001	15579A	14	185	165210	2.03271112523456e-05	0.000223392296529448	0.0909928926294288
FIN	IBS	EAS001	15579A	15	184	161272	2.86704380797659e-05	0.000227697614732603	0.125914529730296
