Ref	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
CEU	England_CNE	England_LIA	0	199	883423	0.00032117974504856	0.000221729578628464	1.44852007131957
CEU	England_CNE	England_LIA	1	198	869743	0.000325346524947679	0.000225406210945434	1.44337870541836
CEU	England_CNE	England_LIA	2	197	859309	0.000329000808418548	0.000228650662353505	1.43887975233545
CEU	England_CNE	England_LIA	3	196	849535	0.000332010251836139	0.000230472789543608	1.44056160596485
CEU	England_CNE	England_LIA	4	195	839633	0.000330062734691152	0.000234233937297739	1.40911576904248
CEU	England_CNE	England_LIA	5	194	830068	0.000335007013708883	0.000237303561267547	1.41172349845682
CEU	England_CNE	England_LIA	6	193	820758	0.000343494953121337	0.000240404381372834	1.42882151797651
CEU	England_CNE	England_LIA	7	192	811156	0.000353350206479114	0.000244713213048073	1.4439359529381
CEU	England_CNE	England_LIA	8	191	801357	0.000355156372805732	0.000247807336821134	1.43319555168006
CEU	England_CNE	England_LIA	9	190	791539	0.000364138615970826	0.0002514894299901	1.44792811365933
CEU	England_CNE	England_LIA	10	189	781412	0.000375224339808557	0.000256227886918491	1.46441647832002
CEU	England_CNE	England_LIA	11	188	770704	0.000372774838278838	0.000259700621157683	1.43540218200903
CEU	England_CNE	England_LIA	12	187	760364	0.000377444910175285	0.000259641052569644	1.45371814834267
CEU	England_CNE	England_LIA	13	186	750094	0.000370690206346465	0.000259932516951177	1.42610170783708
CEU	England_CNE	England_LIA	14	185	739116	0.000375219981969066	0.000261401957774995	1.43541381695405
CEU	England_CNE	England_LIA	15	184	728256	0.000372040297626268	0.000259319211984717	1.43468081203407
CEU	England_CNE	England_LIA	16	183	717579	0.000372428432252068	0.000264993884684853	1.40542274284927
CEU	England_CNE	England_LIA	17	182	706884	0.00036821676856697	0.00027138788718072	1.35679146328948
CEU	England_CNE	England_LIA	18	181	696249	0.000362376268372613	0.000273284597684666	1.32600326342119
CEU	England_CNE	England_LIA	19	180	685814	0.00037450364303148	0.000273497651044249	1.36931210049365
FIN	England_CNE	England_LIA	0	199	873800	0.000402557876740882	0.000233788813811955	1.72188681818059
FIN	England_CNE	England_LIA	1	198	865928	0.000405612076093306	0.000236174426812548	1.71742589393576
FIN	England_CNE	England_LIA	2	197	856449	0.000410599380413761	0.000238742043223443	1.71984529775291
FIN	England_CNE	England_LIA	3	196	847689	0.000415037400423626	0.000240819010361107	1.72344118432045
FIN	England_CNE	England_LIA	4	195	838523	0.000414924305949745	0.000243813526026745	1.70181003782469
FIN	England_CNE	England_LIA	5	194	829487	0.000419907222499013	0.00024715775874806	1.69894412631831
FIN	England_CNE	England_LIA	6	193	820396	0.000429419735147022	0.000249825930057371	1.71887575900712
FIN	England_CNE	England_LIA	7	192	810955	0.000441033127398997	0.000253726341370178	1.73822365079369
FIN	England_CNE	England_LIA	8	191	801225	0.00044509796975472	0.000256576017365408	1.73476061529486
FIN	England_CNE	England_LIA	9	190	791451	0.000454561539642516	0.000259400774529764	1.75235228370669
FIN	England_CNE	England_LIA	10	189	781364	0.00046762269043368	0.000265202700345077	1.76326519234238
FIN	England_CNE	England_LIA	11	188	770683	0.000464896948417654	0.000269161080828304	1.72720716898224
FIN	England_CNE	England_LIA	12	187	760352	0.000469380604735071	0.000269158096881658	1.74388439423929
FIN	England_CNE	England_LIA	13	186	750089	0.000462273050366682	0.000271002922102807	1.70578622097409
FIN	England_CNE	England_LIA	14	185	739113	0.000467413039876767	0.000272803950931798	1.71336609415024
FIN	England_CNE	England_LIA	15	184	728254	0.000465206542859836	0.000270122991140787	1.72220269328119
FIN	England_CNE	England_LIA	16	183	717579	0.000470385699719359	0.000273643416853634	1.71897319923818
FIN	England_CNE	England_LIA	17	182	706885	0.000466062244317252	0.000279478920740872	1.66761143588849
FIN	England_CNE	England_LIA	18	181	696250	0.000460720479750102	0.000282262153975915	1.63224319399693
FIN	England_CNE	England_LIA	19	180	685816	0.000474140384003617	0.00028267335138911	1.67734376683759
GBR	England_CNE	England_LIA	0	199	874351	0.000257287827299141	0.000216305993514103	1.1894623127138
GBR	England_CNE	England_LIA	1	198	865768	0.000258304922164589	0.000217937538632129	1.18522455463994
GBR	England_CNE	England_LIA	2	197	857232	0.000260990840401648	0.00021991745966524	1.18676725712879
GBR	England_CNE	England_LIA	3	196	848581	0.000265687697405801	0.000221880308527602	1.19743702885986
GBR	England_CNE	England_LIA	4	195	839192	0.00026249823167255	0.000225284574653202	1.16518510899663
GBR	England_CNE	England_LIA	5	194	829862	0.000265632341735817	0.000227836053563319	1.16589248093693
GBR	England_CNE	England_LIA	6	193	820641	0.000272701282065295	0.000230923230603098	1.18091749086087
GBR	England_CNE	England_LIA	7	192	811111	0.000281628587018015	0.000234701800968057	1.19994216429701
GBR	England_CNE	England_LIA	8	191	801339	0.000282962312968893	0.000237824812030126	1.18979306891263
GBR	England_CNE	England_LIA	9	190	791529	0.000290563767057376	0.000241742254408076	1.20195688490141
GBR	England_CNE	England_LIA	10	189	781405	0.000300114890875281	0.000246074106546343	1.2196118278652
