Ref	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
CEU	England_CNE	England_LIA	0	199	11305941	0.000138047583080088	8.70316566248672e-05	1.58617666759022
CEU	England_CNE	England_LIA	1	198	7673521	0.000202658887834343	0.000128210400920333	1.58067431643296
CEU	England_CNE	England_LIA	2	197	6813435	0.0002294174812122	0.000144224417767286	1.59069791900549
CEU	England_CNE	England_LIA	3	196	6303455	0.000246555816251946	0.000155391238097951	1.58667772565484
CEU	England_CNE	England_LIA	4	195	5925881	0.000254407429666761	0.000165342282989409	1.53867132512654
CEU	England_CNE	England_LIA	5	194	5637280	0.00026844013822462	0.000173455072633393	1.54760615616
CEU	England_CNE	England_LIA	6	193	5408360	0.000280175212892894	0.000181588140866897	1.54291580692078
CEU	England_CNE	England_LIA	7	192	5212966	0.000290780599322521	0.000189525836132831	1.53425308789417
CEU	England_CNE	England_LIA	8	191	5040170	0.000301036748615865	0.000196774761625841	1.52985446979361
CEU	England_CNE	England_LIA	9	190	4890057	0.000315370125029756	0.000202520802561939	1.55722336194724
CEU	England_CNE	England_LIA	10	189	4751907	0.000322101148071491	0.000207815348702291	1.54993916514281
CEU	England_CNE	England_LIA	11	188	4622751	0.000320430201185109	0.000213297471872563	1.50226910038837
CEU	England_CNE	England_LIA	12	187	4507598	0.000322054102436197	0.00021515679247445	1.4968344653792
CEU	England_CNE	England_LIA	13	186	4401415	0.000323795318428589	0.000217248734040183	1.49043592755159
CEU	England_CNE	England_LIA	14	185	4295286	0.000330712678534689	0.000220937760280695	1.49685901637877
CEU	England_CNE	England_LIA	15	184	4197318	0.000320691309405356	0.000223493288763765	1.43490353191022
CEU	England_CNE	England_LIA	16	183	4104389	0.000330671787047669	0.000229755166840856	1.43923547659198
CEU	England_CNE	England_LIA	17	182	4015875	0.000337302249168303	0.000235514747841884	1.43219162391799
CEU	England_CNE	England_LIA	18	181	3931509	0.000351389638380356	0.000238519588897258	1.47321081679256
CEU	England_CNE	England_LIA	19	180	3851085	0.000366362035201466	0.000241723533932882	1.51562418950565
FIN	England_CNE	England_LIA	0	199	9443683	0.00019482500773345	0.000115607790571672	1.68522386571055
FIN	England_CNE	England_LIA	1	198	7379842	0.000248706702179238	0.000147987288550144	1.68059503364011
FIN	England_CNE	England_LIA	2	197	6678737	0.000277230246022017	0.000162904443506651	1.70179671011059
FIN	England_CNE	England_LIA	3	196	6239112	0.000294847159323914	0.000173394032845001	1.70044582553472
FIN	England_CNE	England_LIA	4	195	5895884	0.000304056936236938	0.000182835820935123	1.66300528354796
FIN	England_CNE	England_LIA	5	194	5623135	0.000317807466440983	0.000190840275838024	1.66530605264227
FIN	England_CNE	England_LIA	6	193	5400871	0.00033145762826236	0.000198316401386729	1.67135761815281
FIN	England_CNE	England_LIA	7	192	5208874	0.000344700297813356	0.000206411216771453	1.66996882826878
FIN	England_CNE	England_LIA	8	191	5037564	0.000357944028854686	0.000213033383440431	1.68022505709663
FIN	England_CNE	England_LIA	9	190	4888239	0.000372625223555296	0.000218424038477419	1.70597167854224
FIN	England_CNE	England_LIA	10	189	4750531	0.000379827334275602	0.000224294296503792	1.69343287010055
FIN	England_CNE	England_LIA	11	188	4621696	0.000376961337710216	0.00023055646153818	1.63500660617049
FIN	England_CNE	England_LIA	12	187	4506628	0.000379584203396836	0.000232803773640767	1.63048990770468
FIN	England_CNE	England_LIA	13	186	4400534	0.000380324427379594	0.000235871223883689	1.61242402153786
FIN	England_CNE	England_LIA	14	185	4294415	0.000390127270998052	0.000240003157806743	1.62550890814609
FIN	England_CNE	England_LIA	15	184	4196481	0.00038065279587128	0.000242830634622995	1.56756496750198
FIN	England_CNE	England_LIA	16	183	4103594	0.000391508776216929	0.000249568102951683	1.56874525064097
FIN	England_CNE	England_LIA	17	182	4015103	0.000396760250516425	0.000255127780766292	1.55514326712964
FIN	England_CNE	England_LIA	18	181	3930744	0.000411236627719674	0.000257916187015433	1.59445838773612
FIN	England_CNE	England_LIA	19	180	3850320	0.000428920629931056	0.000261519434336398	1.64010996360342
GBR	England_CNE	England_LIA	0	199	9936238	9.93659117213533e-05	9.70581996582219e-05	1.02377658014735
GBR	England_CNE	England_LIA	1	198	7450904	0.000132674973178853	0.000129447190943306	1.02493512769204
GBR	England_CNE	England_LIA	2	197	6733112	0.000148208061438563	0.00014285813957578	1.03744919175533
GBR	England_CNE	England_LIA	3	196	6272459	0.000159319006764968	0.000152608838590366	1.04396972178403
GBR	England_CNE	England_LIA	4	195	5913152	0.000161330546006945	0.00016202657673691	0.995704218752363
GBR	England_CNE	England_LIA	5	194	5631368	0.000170724008934686	0.000169346637781321	1.00813344257323
GBR	England_CNE	England_LIA	6	193	5404917	0.000178476426048373	0.00017709437896157	1.00780401441823
GBR	England_CNE	England_LIA	7	192	5210727	0.000185855604395584	0.000184312101547283	1.00837439774895
GBR	England_CNE	England_LIA	8	191	5038506	0.000192841390105788	0.000190943353534979	1.00994031232651
GBR	England_CNE	England_LIA	9	190	4888573	0.000203085503568815	0.000196204154440755	1.03507239256821
GBR	England_CNE	England_LIA	10	189	4750583	0.00020529283144053	0.000200462999589805	1.02409338312112
GBR	England_CNE	England_LIA	11	188	4621536	0.000201444302361402	0.000205817598275501	0.978751593883409
GBR	England_CNE	England_LIA	12	187	4506429	0.000200437386403751	0.000207190971477177	0.96740405711081
GBR	England_CNE	England_LIA	13	186	4400281	0.00019790096035143	0.000208569200869984	0.948850355306274
GBR	England_CNE	England_LIA	14	185	4294175	0.000202667475785402	0.000212496895572712	0.953743231114892
GBR	England_CNE	England_LIA	15	184	4196230	0.000190922135403015	0.000214729158575691	0.889129993659969
GBR	England_CNE	England_LIA	16	183	4103343	0.00020001192578301	0.000221136646629358	0.904472093755881
GBR	England_CNE	England_LIA	17	182	4014849	0.000205453223598948	0.000226236417373756	0.908135065008244
GBR	England_CNE	England_LIA	18	181	3930498	0.000216755811982972	0.000229309962442984	0.945252485647527
GBR	England_CNE	England_LIA	19	180	3850103	0.00023051432074402	0.000231898757871923	0.994029993344478
IBS	England_CNE	England_LIA	0	199	11811886	-1.83055656365105e-05	7.9010213368526e-05	-0.231686067611641
IBS	England_CNE	England_LIA	1	198	7474780	-2.77549563147057e-05	0.00012481616085369	-0.222366688134561
IBS	England_CNE	England_LIA	2	197	6732103	-2.91429796472995e-05	0.000138162607080513	-0.210932467641673
IBS	England_CNE	England_LIA	3	196	6269891	-3.28262103401639e-05	0.000147501721703701	-0.222547980871062
IBS	England_CNE	England_LIA	4	195	5912105	-4.07125706309779e-05	0.000156546301367642	-0.260067278979439
IBS	England_CNE	England_LIA	5	194	5631481	-3.91364782111934e-05	0.000163680751010717	-0.239102508813825
IBS	England_CNE	England_LIA	6	193	5405797	-3.74731489095539e-05	0.00017143546893608	-0.218584573788087
IBS	England_CNE	England_LIA	7	192	5211703	-3.47621318915945e-05	0.000178282875114037	-0.194983011516721
