Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
NL	IBS	EAS001	12880A	0	199	369076	-5.43143886083084e-05	6.59579261215465e-05	-0.823470230222498
NL	IBS	EAS001	12880A	1	198	316235	-6.37656731860799e-05	7.71230532237513e-05	-0.826804314931378
NL	IBS	EAS001	12880A	2	197	286492	-6.960334389791e-05	8.51581806285488e-05	-0.817341838261113
NL	IBS	EAS001	12880A	3	196	267014	-7.50029184612044e-05	9.14720415748092e-05	-0.819954569395549
NL	IBS	EAS001	12880A	4	195	252093	-7.87307191790332e-05	9.6419794521866e-05	-0.81654103879239
NL	IBS	EAS001	12880A	5	194	240070	-8.37060067480318e-05	0.000100855599573815	-0.829958942307097
NL	IBS	EAS001	12880A	6	193	230388	-8.8151980832335e-05	0.000103945549804458	-0.848059209828281
NL	IBS	EAS001	12880A	7	192	222043	-9.04450335745779e-05	0.000107215813133537	-0.843579234547511
NL	IBS	EAS001	12880A	8	191	214689	-9.34367277783213e-05	0.00011080566633672	-0.843248643028624
NL	IBS	EAS001	12880A	9	190	208189	-9.5311210822858e-05	0.000113682156144528	-0.838400801456349
NL	IBS	EAS001	12880A	10	189	202274	-9.12246678268091e-05	0.000116702315303285	-0.781686872190452
NL	IBS	EAS001	12880A	11	188	196891	-9.99184354795289e-05	0.000119450406383725	-0.836484684351334
NL	IBS	EAS001	12880A	12	187	191958	-0.000102385578303587	0.00012212672449374	-0.838355230831034
NL	IBS	EAS001	12880A	13	186	187374	-0.000105010893507103	0.000123142376420822	-0.852760004795121
NL	IBS	EAS001	12880A	14	185	182796	-0.00011105285597059	0.000125450859301219	-0.885229934566984
NL	IBS	EAS001	12880A	15	184	178621	-0.000106132419816259	0.000128062886789541	-0.828752361257304
NL	IBS	EAS001	12880A	16	183	174565	-0.000113710692635981	0.000130091804575875	-0.874080369679706
NL	IBS	EAS001	12880A	17	182	170793	-0.000125080210898573	0.000132601744773045	-0.94327726315106
NL	IBS	EAS001	12880A	18	181	167091	-0.000132695219730566	0.000135849115292038	-0.976783834368797
NL	IBS	EAS001	12880A	19	180	163599	-0.000131489567295644	0.000137503668098616	-0.956262251864732
NL	IBS	EAS001	12884A	0	199	2110804	-2.86052741514601e-06	7.09810767766424e-05	-0.0402998594139012
NL	IBS	EAS001	12884A	1	198	1813876	-3.3116882576316e-06	8.2724767375895e-05	-0.0400326088870524
NL	IBS	EAS001	12884A	2	197	1643936	-3.94485021314693e-06	9.13660730713555e-05	-0.0431763134885535
NL	IBS	EAS001	12884A	3	196	1533720	-4.54407095819314e-06	9.79831195297333e-05	-0.0463760592641085
NL	IBS	EAS001	12884A	4	195	1447575	-6.74138530300656e-06	0.000103661909978752	-0.065032424198902
NL	IBS	EAS001	12884A	5	194	1379343	-8.16661941228515e-06	0.000108631457806627	-0.0751772974162093
NL	IBS	EAS001	12884A	6	193	1324326	-1.14368462146026e-05	0.000112892222468886	-0.101307654012699
NL	IBS	EAS001	12884A	7	192	1277045	-1.33422707187294e-05	0.000116347820469821	-0.114675725465697
NL	IBS	EAS001	12884A	8	191	1234787	-1.36602387780242e-05	0.000119839108389822	-0.113988154297586
NL	IBS	EAS001	12884A	9	190	1198091	-1.35182060628116e-05	0.000123191282453007	-0.109733463225926
NL	IBS	EAS001	12884A	10	189	1164328	-1.42186766701481e-05	0.000126326204136523	-0.112555243524785
NL	IBS	EAS001	12884A	11	188	1132887	-2.05944948790124e-05	0.000129435471412061	-0.159110131514486
NL	IBS	EAS001	12884A	12	187	1104783	-2.34737972162856e-05	0.000132222951044283	-0.177531941549421
NL	IBS	EAS001	12884A	13	186	1078408	-2.7702827454915e-05	0.000134791107140332	-0.205524148014256
NL	IBS	EAS001	12884A	14	185	1052010	-3.44715314398149e-05	0.00013812133524986	-0.249574270169458
NL	IBS	EAS001	12884A	15	184	1027710	-3.7970220918352e-05	0.000141271861282121	-0.268774125107088
NL	IBS	EAS001	12884A	16	183	1004815	-3.98942717813725e-05	0.000144631058630028	-0.275834749183602
NL	IBS	EAS001	12884A	17	182	982968	-4.30970889286322e-05	0.000147684495096901	-0.291818642846391
NL	IBS	EAS001	12884A	18	181	962141	-4.70980376576823e-05	0.000150183625533936	-0.313603014244983
NL	IBS	EAS001	12884A	19	180	942469	-5.45471389085474e-05	0.000152437403344028	-0.357833036459186
NL	IBS	EAS001	15579A	0	199	324633	-2.00627137721674e-05	5.40183351537294e-05	-0.371405629497308
NL	IBS	EAS001	15579A	1	198	277657	-2.39154749925268e-05	6.31572785876272e-05	-0.378665381525985
NL	IBS	EAS001	15579A	2	197	250968	-2.63830279557553e-05	6.97678891249008e-05	-0.378154309764533
NL	IBS	EAS001	15579A	3	196	233464	-2.95731936829662e-05	7.47856847091675e-05	-0.395439231424741
NL	IBS	EAS001	15579A	4	195	220000	-3.32317781818183e-05	8.00598627865896e-05	-0.415086624247684
NL	IBS	EAS001	15579A	5	194	209271	-3.62771025607945e-05	8.50135267823478e-05	-0.42672153401742
NL	IBS	EAS001	15579A	6	193	200605	-3.95585566162359e-05	8.85600445725505e-05	-0.446686277171288
NL	IBS	EAS001	15579A	7	192	193207	-3.96044548075381e-05	9.17415152474098e-05	-0.431696105091923
NL	IBS	EAS001	15579A	8	191	186603	-4.3435229337149e-05	9.42777845059605e-05	-0.460715422670999
