Ref1	Ref2	Test1	Test2	Asc_min	Asc_max	Nr_sites	f	std	Z
SE	IBS	EAS001	12880A	0	199	392135	-1.95992808573578e-05	9.23121836331062e-05	-0.212315212207036
SE	IBS	EAS001	12880A	1	198	331625	-2.29486255258198e-05	0.000109040311850654	-0.21046001369889
SE	IBS	EAS001	12880A	2	197	299976	-2.44506359508758e-05	0.000120224009068461	-0.203375649675369
SE	IBS	EAS001	12880A	3	196	279528	-2.63465175939438e-05	0.000129027074118907	-0.204193714953683
SE	IBS	EAS001	12880A	4	195	263902	-2.76059857068157e-05	0.000136499636980187	-0.202242191390023
SE	IBS	EAS001	12880A	5	194	251354	-2.81227684858803e-05	0.000143063298691359	-0.196575702805172
SE	IBS	EAS001	12880A	6	193	241197	-2.93696548879132e-05	0.000148465407907815	-0.197821535008003
SE	IBS	EAS001	12880A	7	192	232530	-2.94208938631573e-05	0.00015337251059212	-0.191826382378256
SE	IBS	EAS001	12880A	8	191	224891	-2.74349241632616e-05	0.000158213002707385	-0.173404990069006
SE	IBS	EAS001	12880A	9	190	218089	-2.7433844531361e-05	0.000162691814485912	-0.16862461469281
SE	IBS	EAS001	12880A	10	189	211901	-2.38738766688214e-05	0.000167407272077152	-0.14260955556231
SE	IBS	EAS001	12880A	11	188	206251	-2.87343394213843e-05	0.000171704889636644	-0.167347240268993
SE	IBS	EAS001	12880A	12	187	201109	-2.90638566150692e-05	0.000175769017773382	-0.165352557482804
SE	IBS	EAS001	12880A	13	186	196324	-2.71129592917832e-05	0.000178796344298655	-0.151641575213052
SE	IBS	EAS001	12880A	14	185	191373	-2.63047797756216e-05	0.00018189935783713	-0.144611724243549
SE	IBS	EAS001	12880A	15	184	187042	-1.66393688048676e-05	0.000185594071566428	-0.0896546353255258
SE	IBS	EAS001	12880A	16	183	182858	-2.85536127486901e-05	0.000187834639276057	-0.152014627646636
SE	IBS	EAS001	12880A	17	182	178957	-3.99313780405342e-05	0.000190643459913793	-0.2094557980567
SE	IBS	EAS001	12880A	18	181	175132	-4.94349874380467e-05	0.000194456871601033	-0.254220830722159
SE	IBS	EAS001	12880A	19	180	171485	-4.62829597924013e-05	0.000198001910733313	-0.233750066456377
SE	IBS	EAS001	12884A	0	199	2217623	7.18785900047034e-05	8.25125333409589e-05	0.871123295992939
SE	IBS	EAS001	12884A	1	198	1879448	8.51362477913729e-05	9.74592186400204e-05	0.873557668319052
SE	IBS	EAS001	12884A	2	197	1699768	9.40678871463636e-05	0.000107795256129946	0.87265331076319
SE	IBS	EAS001	12884A	3	196	1585014	0.000100984818284886	0.000115801261780062	0.872052832003532
SE	IBS	EAS001	12884A	4	195	1495710	0.000105226462736092	0.000122669736734311	0.85780295562222
SE	IBS	EAS001	12884A	5	194	1425156	0.000108721761981846	0.000128511307456996	0.846009305587585
SE	IBS	EAS001	12884A	6	193	1368282	0.000111353907812132	0.000133331739477127	0.835164292079423
SE	IBS	EAS001	12884A	7	192	1319493	0.000114671481833553	0.000137560463691249	0.833607846008211
SE	IBS	EAS001	12884A	8	191	1275927	0.000119893797222725	0.000141767353320927	0.845708087328925
SE	IBS	EAS001	12884A	9	190	1238066	0.000123885469061423	0.000145712450279365	0.850205104806801
SE	IBS	EAS001	12884A	10	189	1203144	0.000128191590930928	0.000149610694553497	0.856834408218658
SE	IBS	EAS001	12884A	11	188	1170501	0.000127200296333792	0.000153612986920198	0.828056916827434
SE	IBS	EAS001	12884A	12	187	1141468	0.000126493007792597	0.000157098206296042	0.805184290610095
SE	IBS	EAS001	12884A	13	186	1114296	0.000126667627792795	0.000160505142872584	0.789181116105101
SE	IBS	EAS001	12884A	14	185	1086915	0.000125714002722384	0.00016412979710039	0.765942595088268
SE	IBS	EAS001	12884A	15	184	1061982	0.000127325816811396	0.000168271316106999	0.756669762601924
SE	IBS	EAS001	12884A	16	183	1038525	0.000128456152993909	0.00017280275166323	0.743368677625306
SE	IBS	EAS001	12884A	17	182	1016043	0.000128320209270671	0.000176767439039957	0.725926731572238
SE	IBS	EAS001	12884A	18	181	994664	0.000127134350753621	0.000180285616652814	0.705182993041818
SE	IBS	EAS001	12884A	19	180	974379	0.000125348266647783	0.000182852327925773	0.68551638401162
SE	IBS	EAS001	15579A	0	199	344048	0.000106626182082151	8.98691840749968e-05	1.18645988810993
SE	IBS	EAS001	15579A	1	198	290427	0.000125275307678005	0.000106496542324238	1.17633216012398
SE	IBS	EAS001	15579A	2	197	262053	0.000139151803768703	0.000117980143182057	1.17945105011422
SE	IBS	EAS001	15579A	3	196	243778	0.000149138539954385	0.000126389499555899	1.17999153789215
SE	IBS	EAS001	15579A	4	195	229728	0.000156077435850223	0.000134386803451087	1.16140448200355
SE	IBS	EAS001	15579A	5	194	218587	0.000164687177979477	0.000141839698003239	1.16107958701179
SE	IBS	EAS001	15579A	6	193	209519	0.000171218912523446	0.000147280041071009	1.16253982059182
SE	IBS	EAS001	15579A	7	192	201808	0.00018033107797015	0.000153088310486234	1.17795458972268
SE	IBS	EAS001	15579A	8	191	194976	0.000187203639232521	0.000158051885707133	1.18444419941566
SE	IBS	EAS001	15579A	9	190	188991	0.000196153939409813	0.000161679051663861	1.21323039312246
SE	IBS	EAS001	15579A	10	189	183546	0.000205208803368093	0.000165617081540217	1.23905578736009
SE	IBS	EAS001	15579A	11	188	178344	0.00021598294096241	0.00017046218434549	1.26704313799393
SE	IBS	EAS001	15579A	12	187	173811	0.000220361569883379	0.000175912475841066	1.25267732620893
SE	IBS	EAS001	15579A	13	186	169507	0.000222994684249028	0.000180389591638902	1.23618376328171
SE	IBS	EAS001	15579A	14	185	165111	0.000230095148372912	0.000184426078403532	1.24762804894357
SE	IBS	EAS001	15579A	15	184	161179	0.000240207380260456	0.00018963787071176	1.266663559124
SE	IBS	EAS001	15579A	16	183	157594	0.00024999241304872	0.000194265677081068	1.28685837253895
SE	IBS	EAS001	15579A	17	182	154145	0.000259080493963476	0.000199135468679835	1.30102636000028
SE	IBS	EAS001	15579A	18	181	150926	0.000254652164915256	0.00020572528599179	1.23782627734648
SE	IBS	EAS001	15579A	19	180	147780	0.000251948421044796	0.000207202813921056	1.21595076957202
SE	IBS	EAS001	6DT18	0	199	304005	1.91276502261476e-05	9.36764173690082e-05	0.204188532859881
SE	IBS	EAS001	6DT18	1	198	258119	2.22927443194805e-05	0.000110246959078038	0.202207339829669
SE	IBS	EAS001	6DT18	2	197	233699	2.35093254613841e-05	0.000122118698669605	0.192512086334863
SE	IBS	EAS001	6DT18	3	196	217828	2.40656314202032e-05	0.00013151138530615	0.182992760392418
SE	IBS	EAS001	6DT18	4	195	205751	2.08332682757316e-05	0.000138763621810217	0.150134941737285
SE	IBS	EAS001	6DT18	5	194	195972	2.1425947028147e-05	0.000145649828194144	0.147105886040505
SE	IBS	EAS001	6DT18	6	193	188115	2.02854104723174e-05	0.000151163582815943	0.134195089150652
SE	IBS	EAS001	6DT18	7	192	181577	2.08008185012416e-05	0.00015647406463243	0.132934608365318
SE	IBS	EAS001	6DT18	8	191	175792	1.89868112940293e-05	0.000161764330473081	0.117373287661762
SE	IBS	EAS001	6DT18	9	190	170674	1.76342840209991e-05	0.000166098256657344	0.106167785116361
SE	IBS	EAS001	6DT18	10	189	165992	1.39510045122655e-05	0.000170680991551939	0.081737306453485
SE	IBS	EAS001	6DT18	11	188	161625	1.27306455746324e-05	0.000176158361034437	0.0722681881227521
SE	IBS	EAS001	6DT18	12	187	157739	1.10354455841613e-05	0.000181818010144851	0.0606950080213151
SE	IBS	EAS001	6DT18	13	186	153958	8.53975734291186e-06	0.000186241516956708	0.0458531345881217
SE	IBS	EAS001	6DT18	14	185	150243	1.77350333126997e-06	0.000190060883572603	0.00933123795876967
SE	IBS	EAS001	6DT18	15	184	146877	3.75820319041958e-07	0.000193985350195953	0.00193736443840901
SE	IBS	EAS001	6DT18	16	183	143694	-5.8664388909771e-06	0.000199482552885019	-0.0294082806046626
SE	IBS	EAS001	6DT18	17	182	140619	-9.00220240508106e-07	0.000201884075585399	-0.0044590948438987
SE	IBS	EAS001	6DT18	18	181	137718	7.16312631609494e-06	0.000203849890331641	0.0351392208474645
SE	IBS	EAS001	6DT18	19	180	135018	1.21383297041878e-05	0.000207811054805934	0.058410413803651
SE	IBS	EAS001	6DT21	0	199	359965	-2.59395660883696e-05	7.65352692944687e-05	-0.338923039371134
SE	IBS	EAS001	6DT21	1	198	305446	-3.08638536107855e-05	9.01384066322972e-05	-0.342405138540876
SE	IBS	EAS001	6DT21	2	197	276309	-3.35705952031966e-05	9.95130632203768e-05	-0.33734862657029
SE	IBS	EAS001	6DT21	3	196	257767	-3.77010634022196e-05	0.000106799335802331	-0.353008407018547
SE	IBS	EAS001	6DT21	4	195	243333	-4.2113154196102e-05	0.000112998122202924	-0.372688973720063
SE	IBS	EAS001	6DT21	5	194	231859	-4.61152767414677e-05	0.000118262781100861	-0.389939051933323
SE	IBS	EAS001	6DT21	6	193	222568	-5.06249714693936e-05	0.000122181620007505	-0.414341956394783
SE	IBS	EAS001	6DT21	7	192	214627	-5.59021729791686e-05	0.000126656580985685	-0.441368087975522
SE	IBS	EAS001	6DT21	8	191	207420	-5.55347763475075e-05	0.000131752427525123	-0.421508562617701
SE	IBS	EAS001	6DT21	9	190	201279	-5.96865723696958e-05	0.000135466063326835	-0.440601659957384
SE	IBS	EAS001	6DT21	10	189	195692	-6.13831770843979e-05	0.000138061766740257	-0.44460663175404
SE	IBS	EAS001	6DT21	11	188	190429	-6.11911959312917e-05	0.000142800623747283	-0.428507903716044
SE	IBS	EAS001	6DT21	12	187	185792	-6.62689221279711e-05	0.000146540966532752	-0.452221134444068
SE	IBS	EAS001	6DT21	13	186	181423	-7.07096531310802e-05	0.000150801750503274	-0.468891461107708
SE	IBS	EAS001	6DT21	14	185	176991	-6.46888363250105e-05	0.00015486025142195	-0.417723952602608
SE	IBS	EAS001	6DT21	15	184	172999	-5.81778018370045e-05	0.000158615258486328	-0.36678565727029
SE	IBS	EAS001	6DT21	16	183	169297	-6.29310970661028e-05	0.000160309970215316	-0.39255884697364
SE	IBS	EAS001	6DT21	17	182	165672	-7.1944082222705e-05	0.000162511865133034	-0.442700489369257
SE	IBS	EAS001	6DT21	18	181	162211	-6.10446041883722e-05	0.000165030350966427	-0.369899256899665
SE	IBS	EAS001	6DT21	19	180	158980	-5.26756668763366e-05	0.000166694354353617	-0.316001505153516
SE	IBS	EAS001	6DT22	0	199	334231	9.12308207527129e-05	9.01160574955014e-05	1.01237030656015
SE	IBS	EAS001	6DT22	1	198	283518	0.000107885457113834	0.000106026239786822	1.0175354452893
SE	IBS	EAS001	6DT22	2	197	256712	0.000119825960765371	0.000116775336173215	1.02612387762799
SE	IBS	EAS001	6DT22	3	196	239475	0.000129026599018687	0.000125070390969681	1.03163185161838
SE	IBS	EAS001	6DT22	4	195	226049	0.000135956049219417	0.000132259994049962	1.02794537528906
SE	IBS	EAS001	6DT22	5	194	215390	0.000138860000464274	0.000139068334800202	0.998501928305767
SE	IBS	EAS001	6DT22	6	193	206738	0.000142146583259971	0.000145450847521206	0.977282605653068
SE	IBS	EAS001	6DT22	7	192	199448	0.000148847401929325	0.000150093021620062	0.991701015295104
SE	IBS	EAS001	6DT22	8	191	192977	0.000155005750996233	0.000155138695345204	0.999143061318938
SE	IBS	EAS001	6DT22	9	190	187330	0.000163976269470987	0.000159510703984748	1.02799539701527
SE	IBS	EAS001	6DT22	10	189	182079	0.000172002625014417	0.000162651425191953	1.05749227104176
SE	IBS	EAS001	6DT22	11	188	177287	0.000181003312482021	0.00016569383270015	1.09239619563618
SE	IBS	EAS001	6DT22	12	187	172950	0.000184515469268574	0.00016908084523219	1.0912854677015
SE	IBS	EAS001	6DT22	13	186	168916	0.000194230518127353	0.000171607209761093	1.13183192243354
SE	IBS	EAS001	6DT22	14	185	164743	0.000195005346995016	0.000176033339444763	1.10777508175493
SE	IBS	EAS001	6DT22	15	184	161095	0.000206540910456563	0.000178866197304456	1.15472299165058
SE	IBS	EAS001	6DT22	16	183	157575	0.000219996788005711	0.000181806074354521	1.21006291339155
SE	IBS	EAS001	6DT22	17	182	154245	0.00022690820428539	0.000183110976420663	1.2391840659738
SE	IBS	EAS001	6DT22	18	181	151014	0.000224097643066206	0.000188854138581571	1.18661759148801
SE	IBS	EAS001	6DT22	19	180	147946	0.000231400712219323	0.000193045084362669	1.19868741016268
SE	IBS	EAS001	6DT23	0	199	106901	6.18743847672146e-05	0.000147373239169581	0.419848169965352
SE	IBS	EAS001	6DT23	1	198	91290	7.34777977872711e-05	0.000172141289106936	0.426845866953082
SE	IBS	EAS001	6DT23	2	197	82760	8.15995862735626e-05	0.000189798579876288	0.429927275150055
SE	IBS	EAS001	6DT23	3	196	77307	8.91673493991496e-05	0.000202184181701313	0.441020403519385
SE	IBS	EAS001	6DT23	4	195	73089	9.10972206487975e-05	0.000213196465035552	0.427292359812844
SE	IBS	EAS001	6DT23	5	194	69792	9.38150213491519e-05	0.00022339456531742	0.419952120213178
SE	IBS	EAS001	6DT23	6	193	67026	9.84781062572736e-05	0.000231632663325437	0.425147752667829
SE	IBS	EAS001	6DT23	7	192	64831	9.82557810306792e-05	0.000240515561604409	0.408521512600863
SE	IBS	EAS001	6DT23	8	191	62782	0.00010199159313179	0.00024744141761569	0.412184807679192
SE	IBS	EAS001	6DT23	9	190	60929	0.000112792522772407	0.000252082084992991	0.44744362843374
SE	IBS	EAS001	6DT23	10	189	59314	0.000117350267053309	0.000259166925753877	0.452798005424324
SE	IBS	EAS001	6DT23	11	188	57775	0.000121397108610991	0.000266735876382845	0.455121036799528
SE	IBS	EAS001	6DT23	12	187	56434	0.000130249381578481	0.000272796646158378	0.477459614744903
SE	IBS	EAS001	6DT23	13	186	55148	0.000128320386958729	0.000278126476358108	0.461374223119655
SE	IBS	EAS001	6DT23	14	185	53776	0.000141917403116632	0.000282840186103526	0.501758272301118
SE	IBS	EAS001	6DT23	15	184	52594	0.000162848314826786	0.000290096328903887	0.561359447195004
SE	IBS	EAS001	6DT23	16	183	51465	0.000163734828912853	0.000295038888389579	0.554960160698043
SE	IBS	EAS001	6DT23	17	182	50450	0.000171429162933598	0.000299000053101111	0.573341580229175
SE	IBS	EAS001	6DT23	18	181	49412	0.000178303842588846	0.000300217317288739	0.59391591464179
SE	IBS	EAS001	6DT23	19	180	48416	0.00019326985438698	0.000305620666357574	0.632384768642758
SE	IBS	ELY005	12880A	0	199	642650	0.000235993270241967	7.97712082232032e-05	2.95837653081107
SE	IBS	ELY005	12880A	1	198	544467	0.000277914158195079	9.4153637371057e-05	2.95170920587833
SE	IBS	ELY005	12880A	2	197	492329	0.000306655773253252	0.000103924112344927	2.95076634607618
SE	IBS	ELY005	12880A	3	196	459202	0.000326108231475473	0.000111335415996061	2.92906105894472
SE	IBS	ELY005	12880A	4	195	433152	0.000345802256852098	0.000117993757288467	2.93068264625807
SE	IBS	ELY005	12880A	5	194	412454	0.00036198216685982	0.000124023443824459	2.91865921230315
SE	IBS	ELY005	12880A	6	193	395811	0.000374006973479767	0.000129491795887128	2.88826771547575
SE	IBS	ELY005	12880A	7	192	381832	0.000385402336917807	0.000133211234675997	2.89316691535215
SE	IBS	ELY005	12880A	8	191	369230	0.000396921225848387	0.000137838120373473	2.87961867713321
SE	IBS	ELY005	12880A	9	190	358208	0.000399452125217751	0.000141940582309726	2.81422070219575
SE	IBS	ELY005	12880A	10	189	348043	0.000406628008636864	0.000147179572833185	2.76280193514177
SE	IBS	ELY005	12880A	11	188	338597	0.000418651853944364	0.000151170385928053	2.76940388406241
SE	IBS	ELY005	12880A	12	187	330022	0.000425017365781675	0.000153896102748432	2.76171623706699
SE	IBS	ELY005	12880A	13	186	322267	0.000428572569049887	0.000155841149551734	2.75006036776966
SE	IBS	ELY005	12880A	14	185	314313	0.000438335996633929	0.000160180651051975	2.73651026984338
SE	IBS	ELY005	12880A	15	184	307129	0.000448350032103774	0.000162535339934904	2.75847721660619
SE	IBS	ELY005	12880A	16	183	300267	0.000455964222541938	0.000165777003786836	2.75046726702962
SE	IBS	ELY005	12880A	17	182	293813	0.0004580929438112	0.000168481585287443	2.7189496290034
SE	IBS	ELY005	12880A	18	181	287610	0.000461481184173012	0.000171624883301334	2.6888943799761
SE	IBS	ELY005	12880A	19	180	281557	0.000466363862521621	0.000174445547575212	2.67340650996294
SE	IBS	ELY005	12884A	0	199	3697883	0.000296102721228335	7.85988145860089e-05	3.76726701016994
SE	IBS	ELY005	12884A	1	198	3135651	0.000348803621732776	9.26003231845797e-05	3.76676462605328
SE	IBS	ELY005	12884A	2	197	2836654	0.000384444203113951	0.000102350148176566	3.75616655142246
SE	IBS	ELY005	12884A	3	196	2645059	0.000410906577165198	0.000109555464285925	3.75067167889305
SE	IBS	ELY005	12884A	4	195	2495552	0.000434183630551477	0.000115980365609423	3.7435959808373
SE	IBS	ELY005	12884A	5	194	2377745	0.000453706857774909	0.000121601707151814	3.73108954143609
SE	IBS	ELY005	12884A	6	193	2283220	0.000468476743511357	0.000126446089984462	3.70495239171829
SE	IBS	ELY005	12884A	7	192	2202062	0.000481541965239853	0.000130879807753276	3.6792685862407
SE	IBS	ELY005	12884A	8	191	2129899	0.000493515612538435	0.000135145851360321	3.65172595067415
SE	IBS	ELY005	12884A	9	190	2066867	0.000503260235554586	0.000139056008295394	3.61911895590673
SE	IBS	ELY005	12884A	10	189	2008369	0.000515848849051146	0.000143650125585224	3.59100868829458
SE	IBS	ELY005	12884A	11	188	1953788	0.000525427443008146	0.000147524180759216	3.56163606741685
SE	IBS	ELY005	12884A	12	187	1905052	0.000530351392885864	0.000150283834694344	3.52899827160068
SE	IBS	ELY005	12884A	13	186	1860202	0.000537051157503325	0.000154002558363712	3.48728724515704
SE	IBS	ELY005	12884A	14	185	1815212	0.000545912174137235	0.000157556943426321	3.46485633870222
SE	IBS	ELY005	12884A	15	184	1773747	0.000552262409915281	0.000160220780171192	3.44688378951347
SE	IBS	ELY005	12884A	16	183	1734218	0.000566196605149987	0.000164679163550024	3.43817999159315
SE	IBS	ELY005	12884A	17	182	1696694	0.000576351645971519	0.000168533077739251	3.41981321235485
SE	IBS	ELY005	12884A	18	181	1661371	0.000585656381301949	0.00017159626284546	3.41299030404521
SE	IBS	ELY005	12884A	19	180	1627272	0.000587723026752749	0.000174766284259891	3.3629085223255
SE	IBS	ELY005	15579A	0	199	558203	0.000337984426024224	9.75990401306185e-05	3.46298924222916
SE	IBS	ELY005	15579A	1	198	471284	0.000398392325179722	0.000115604735847472	3.44615921016729
SE	IBS	ELY005	15579A	2	197	425387	0.000439889906673218	0.00012811499131302	3.43355529407519
SE	IBS	ELY005	15579A	3	196	395719	0.000471850009274258	0.000137557840123974	3.43019350150455
SE	IBS	ELY005	15579A	4	195	372688	0.000498636043097712	0.000145836586218538	3.41914231556751
SE	IBS	ELY005	15579A	5	194	354721	0.000522901414632908	0.000152827755330287	3.42150817763978
SE	IBS	ELY005	15579A	6	193	340044	0.000541768409588171	0.000158599572037348	3.41595127041448
SE	IBS	ELY005	15579A	7	192	327650	0.000555253599053868	0.000164478314095191	3.37584685317555
SE	IBS	ELY005	15579A	8	191	316735	0.000568750301166591	0.000169331644631179	3.3587951171524
SE	IBS	ELY005	15579A	9	190	307006	0.000579539197214387	0.000174347412271453	3.32404817292076
SE	IBS	ELY005	15579A	10	189	298139	0.000596111450397298	0.000178984095131256	3.33052749720663
